Years,Infected,infection,population total,Recovered,recovery,recovery rate,Susceptible,transmission rate
46.25,117.883178472,3.18703734438,1000,791.998299511,11.7883178472,0.1,90.1185220173,0.3
46.5,115.732858346,3.10123887228,1000,794.945378973,11.5732858346,0.1,89.3217626812,0.3
46.75,113.614846606,3.01805750126,1000,797.838700431,11.3614846606,0.1,88.5464529631,0.3
47,111.528989816,2.9374038674,1000,800.679071596,11.1528989816,0.1,87.7919385878,0.3
47.25,109.475116037,2.85919185202,1000,803.467296342,10.9475116037,0.1,87.0575876209,0.3
47.5,107.453036099,2.78333846821,1000,806.204174243,10.7453036099,0.1,86.3427896579,0.3
47.75,105.462544814,2.70976375025,1000,808.890500145,10.5462544814,0.1,85.6469550409,0.3
48,103.503422131,2.63839064595,1000,811.527063766,10.3503422131,0.1,84.9695141033,0.3
48.25,101.575434239,2.56914491198,1000,814.114649319,10.1575434239,0.1,84.3099164418,0.3
48.5,99.6783346113,2.50195501218,1000,816.654035175,9.96783346113,0.1,83.6676302138,0.3
48.75,97.8118649991,2.43675201894,1000,819.14599354,9.78118649991,0.1,83.0421414608,0.3
49,95.9757563789,2.37346951755,1000,821.591290165,9.59757563789,0.1,82.432953456,0.3
49.25,94.1697298488,2.31204351353,1000,823.990684075,9.41697298488,0.1,81.8395860767,0.3
49.5,92.3934974809,2.25241234301,1000,826.344927321,9.23934974809,0.1,81.2615751983,0.3
49.75,90.6467631297,2.19451658595,1000,828.654764758,9.06467631297,0.1,80.6984721125,0.3
50,88.9292231979,2.13829898232,1000,830.920933836,8.89292231979,0.1,80.149842966,0.3
50.25,87.2405673636,2.08370435111,1000,833.144164416,8.72405673636,0.1,79.6152682205,0.3
50.5,85.5804792672,2.03067951211,1000,835.3251786,8.55804792672,0.1,79.0943421327,0.3
50.75,83.9486371636,1.9791732105,1000,837.464690582,8.39486371636,0.1,78.5866722547,0.3
51,82.3447145371,1.92913604399,1000,839.563406511,8.23447145371,0.1,78.091878952,0.3
51.25,80.7683806847,1.88052039269,1000,841.622024374,8.07683806847,0.1,77.609594941,0.3
51.5,79.2193012657,1.83328035146,1000,843.641233891,7.92193012657,0.1,77.1394648429,0.3
51.75,77.697138822,1.78737166472,1000,845.621716423,7.7697138822,0.1,76.681144755,0.3
52,76.2015532676,1.74275166372,1000,847.564144894,7.62015532676,0.1,76.2343018388,0.3
52.25,74.7322023518,1.6993792061,1000,849.469183725,7.47322023518,0.1,75.7986139229,0.3
52.5,73.2887420946,1.65721461775,1000,851.337488784,7.32887420946,0.1,75.3737691214,0.3
52.75,71.8708271966,1.6162196368,1000,853.169707336,7.18708271966,0.1,74.9594654669,0.3
53,70.4781114259,1.57635735981,1000,854.966478016,7.04781114259,0.1,74.5554105577,0.3
53.25,69.1102479802,1.53759218997,1000,856.728430802,6.91102479802,0.1,74.1613212178,0.3
53.5,67.7668898282,1.4998897873,1000,858.456187002,6.77668898282,0.1,73.7769231703,0.3
53.75,66.4476900293,1.46321702077,1000,860.150359247,6.64476900293,0.1,73.4019507234,0.3
54,65.1523020338,1.42754192223,1000,861.811551498,6.51523020338,0.1,73.0361464683,0.3
54.25,63.8803799635,1.39283364221,1000,863.440359049,6.38803799635,0.1,72.6792609877,0.3
54.5,62.631578875,1.35906240738,1000,865.037368548,6.2631578875,0.1,72.3310525771,0.3
54.75,61.4055550049,1.32619947967,1000,866.60315802,6.14055550049,0.1,71.9912869753,0.3
55,60.2019659997,1.29421711703,1000,868.138296895,6.02019659997,0.1,71.6597371054,0.3
55.25,59.020471129,1.26308853568,1000,869.643346045,5.9020471129,0.1,71.3361828261,0.3
55.5,57.8607314847,1.2327878739,1000,871.118857823,5.78607314847,0.1,71.0204106922,0.3
55.75,56.7224101661,1.20329015718,1000,872.56537611,5.67224101661,0.1,70.7122137237,0.3
56,55.6051724512,1.1745712648,1000,873.983436364,5.56051724512,0.1,70.4113911844,0.3
56.25,54.5086859561,1.14660789773,1000,875.373565676,5.45086859561,0.1,70.1177483682,0.3
56.5,53.4326207816,1.11937754771,1000,876.736282825,5.34326207816,0.1,69.8310963938,0.3
56.75,52.376649649,1.0928584677,1000,878.072098344,5.2376649649,0.1,69.5512520069,0.3
57,51.3404480247,1.06702964336,1000,879.381514585,5.13404480247,0.1,69.27803739,0.3
57.25,50.323694235,1.04187076573,1000,880.665025786,5.0323694235,0.1,69.0112799791,0.3
57.5,49.3260695705,1.01736220498,1000,881.923118142,4.93260695705,0.1,68.7508122877,0.3
57.75,48.3472583825,0.993484985199,1000,883.156269881,4.83472583825,0.1,68.4964717364,0.3
58,47.3869481692,0.970220760172,1000,884.364951341,4.73869481692,0.1,68.2481004901,0.3
58.25,46.444829655,0.947551790118,1000,885.549625045,4.6444829655,0.1,68.0055453001,0.3
58.5,45.5205968612,0.925460919351,1000,886.710745786,4.55205968612,0.1,67.7686573526,0.3
58.75,44.6139471695,0.90393155482,1000,887.848760708,4.46139471695,0.1,67.5372921227,0.3
59,43.724581379,0.882947645498,1000,888.964109387,4.3724581379,0.1,67.311309234,0.3
59.25,42.8522037559,0.86249366258,1000,890.057223921,4.28522037559,0.1,67.0905723226,0.3
59.5,41.9965220776,0.842554580464,1000,891.128529015,4.19965220776,0.1,66.874948907,0.3
59.75,41.1572476708,0.823115858475,1000,892.178442067,4.11572476708,0.1,66.6643102619,0.3
60,40.3340954436,0.804163423317,1000,893.207373259,4.03340954436,0.1,66.4585312973,0.3
60.25,39.5267839134,0.785683652196,1000,894.215725645,3.95267839134,0.1,66.2574904414,0.3
60.5,38.7350352286,0.767663356626,1000,895.203895243,3.87350352286,0.1,66.0610695284,0.3
60.75,37.958575187,0.750089766846,1000,896.172271124,3.7958575187,0.1,65.8691536892,0.3
61,37.1971332491,0.732950516859,1000,897.121235503,3.71971332491,0.1,65.6816312475,0.3
61.25,36.4504425471,0.716233630053,1000,898.051163835,3.64504425471,0.1,65.4983936183,0.3
61.5,35.7182398909,0.699927505372,1000,898.962424898,3.57182398909,0.1,65.3193352108,0.3
61.75,35.00026577,0.684020904036,1000,899.855380896,3.500026577,0.1,65.1443533344,0.3
62,34.2962643517,0.668502936763,1000,900.73038754,3.42962643517,0.1,64.9733481084,0.3
62.25,33.6059834771,0.653363051497,1000,901.587794149,3.36059834771,0.1,64.8062223742,0.3
62.5,32.9291746531,0.638591021598,1000,902.427943736,3.29291746531,0.1,64.6428816114,0.3
62.75,32.2655930421,0.624176934492,1000,903.251173102,3.22655930421,0.1,64.483233856,0.3
63,31.6149974497,0.610111180757,1000,904.057812928,3.16149974497,0.1,64.3271896224,0.3
63.25,30.9771503087,0.596384443628,1000,904.848187864,3.09771503087,0.1,64.1746618272,0.3
63.5,30.3518176619,0.582987688895,1000,905.622616622,3.03518176619,0.1,64.0255657163,0.3
63.75,29.7387691425,0.569912155195,1000,906.381412063,2.97387691425,0.1,63.879818794,0.3
64,29.1377779528,0.557149344668,1000,907.124881292,2.91377779528,0.1,63.7373407552,0.3
64.25,28.5486208401,0.544691013969,1000,907.853325741,2.85486208401,0.1,63.5980534191,0.3
64.5,27.9710780726,0.532529165619,1000,908.567041262,2.79710780726,0.1,63.4618806656,0.3
64.75,27.4049334122,0.520656039681,1000,909.266318214,2.74049334122,0.1,63.3287483742,0.3
65,26.8499740868,0.509064105751,1000,909.951441549,2.68499740868,0.1,63.1985843642,0.3
65.25,26.3059907611,0.497746055245,1000,910.622690901,2.63059907611,0.1,63.0713183378,0.3
65.5,25.7727775059,0.486694793981,1000,911.28034067,2.57727775059,0.1,62.946881824,0.3
65.75,25.2501317667,0.475903435032,1000,911.924660108,2.52501317667,0.1,62.8252081255,0.3
66,24.7378543313,0.465365291844,1000,912.555913402,2.47378543313,0.1,62.7062322667,0.3
66.25,24.235749296,0.455073871613,1000,913.17435976,2.4235749296,0.1,62.5898909438,0.3
66.5,23.7436240315,0.445022868904,1000,913.780253493,2.37436240315,0.1,62.4761224759,0.3
66.75,23.2612891479,0.435206159503,1000,914.373844093,2.32612891479,0.1,62.3648667587,0.3
67,22.7885584591,0.425617794501,1000,914.955376322,2.27885584591,0.1,62.2560652188,0.3
67.25,22.3252489462,0.416251994586,1000,915.525090284,2.23252489462,0.1,62.1496607702,0.3
67.5,21.8711807212,0.407103144545,1000,916.083221507,2.18711807212,0.1,62.0455977715,0.3
67.75,21.4261769893,0.398165787976,1000,916.630001025,2.14261769893,0.1,61.9438219854,0.3
68,20.9900640116,0.389434622176,1000,917.16565545,2.09900640116,0.1,61.8442805384,0.3
68.25,20.5626710669,0.38090449322,1000,917.69040705,2.05626710669,0.1,61.7469218828,0.3
68.5,20.1438304135,0.372570391225,1000,918.204473827,2.01438304135,0.1,61.6516957595,0.3
68.75,19.733377251,0.364427445769,1000,918.708069587,1.9733377251,0.1,61.5585531617,0.3
69,19.3311496811,0.356470921484,1000,919.201404019,1.93311496811,0.1,61.4674463003,0.3
69.25,18.9369886695,0.348696213804,1000,919.684682761,1.89369886695,0.1,61.3783285699,0.3
69.5,18.5507380062,0.341098844859,1000,920.158107477,1.85507380062,0.1,61.2911545165,0.3
69.75,18.1722442672,0.333674459524,1000,920.621875928,1.81722442672,0.1,61.2058798052,0.3
70,17.8013567754,0.326418821593,1000,921.076182034,1.78013567754,0.1,61.1224611904,0.3
70.25,17.4379275615,0.319327810102,1000,921.521215954,1.74379275615,0.1,61.040856485,0.3
70.5,17.0818113249,0.312397415772,1000,921.957164143,1.70818113249,0.1,60.9610245324,0.3
70.75,16.7328653958,0.305623737574,1000,922.384209426,1.67328653958,0.1,60.8829251785,0.3
71,16.3909496953,0.299002979422,1000,922.802531061,1.63909496953,0.1,60.8065192441,0.3
71.25,16.0559266977,0.292531446974,1000,923.212304803,1.60559266977,0.1,60.7317684992,0.3
71.5,15.727661392,0.286205544543,1000,923.61370297,1.5727661392,0.1,60.6586356375,0.3
71.75,15.4060212434,0.280021772115,1000,924.006894505,1.54060212434,0.1,60.5870842514,0.3
72,15.0908761553,0.273976722473,1000,924.392045036,1.50908761553,0.1,60.5170788083,0.3
72.25,14.7820984321,0.268067078414,1000,924.76931694,1.47820984321,0.1,60.4485846277,0.3
72.5,14.4795627409,0.262289610058,1000,925.138869401,1.44795627409,0.1,60.3815678581,0.3
72.75,14.1831460748,0.256641172259,1000,925.50085847,1.41831460748,0.1,60.3159954556,0.3
73,13.892727716,0.251118702091,1000,925.855437121,1.3892727716,0.1,60.2518351625,0.3
73.25,13.6081891987,0.245719216427,1000,926.202755314,1.36081891987,0.1,60.189055487,0.3
