Years,predation,predation rate,Predator,predator births,predator death rate,predator deaths,predator efficiency,Prey,prey birth rate,prey births
5.5,29.0241433634,0.02,2.5877911547,0.290241433634,0.4,1.03511646188,0.01,560.789909778,0.5,280.394954889
5.75,29.9539773766,0.02,2.40157239764,0.299539773766,0.4,0.960628959056,0.01,623.63261266,0.5,311.81630633
6,31.0442372715,0.02,2.23630010132,0.310442372715,0.4,0.894520040527,0.01,694.098194898,0.5,347.049097449
6.25,32.3198952739,0.02,2.09028068437,0.323198952739,0.4,0.836112273746,0.01,773.099409943,0.5,386.549704971
6.5,33.8123175049,0.02,1.96205235411,0.338123175049,0.4,0.784820941645,0.01,861.656862367,0.5,430.828431183
6.75,35.5609657632,0.02,1.85037791246,0.355609657632,0.4,0.740151164986,0.01,960.910890787,0.5,480.455445393
7,37.6156792514,0.02,1.75424253563,0.376156792514,0.4,0.70169701425,0.01,1072.13451069,0.5,536.067255347
7.25,40.0397569577,0.02,1.67285748019,0.400397569577,0.4,0.669142992077,0.01,1196.74740472,0.5,598.373702359
7.5,42.9141584931,0.02,1.60567112457,0.429141584931,0.4,0.642268449827,0.01,1336.33089107,0.5,668.165445534
7.75,46.3432858045,0.02,1.55238940834,0.463432858045,0.4,0.620955763337,0.01,1492.64371283,0.5,746.321856414
8,50.4630262062,0.02,1.51300868202,0.504630262062,0.4,0.605203472808,0.01,1667.63835548,0.5,833.819177741
8.25,55.4520699752,0.02,1.48786537933,0.554520699752,0.4,0.595146151733,0.01,1863.47739336,0.5,931.738696682
8.5,61.5480301642,0.02,1.47770901634,0.615480301642,0.4,0.591083606535,0.01,2082.54905004,0.5,1041.27452502
8.75,69.070697721,0.02,1.48380819011,0.69070697721,0.4,0.593523276046,0.01,2327.48067376,0.5,1163.74033688
9,78.4560425915,0.02,1.50810411541,0.784560425915,0.4,0.603241646162,0.01,2601.14808354,0.5,1300.57404177
9.25,90.3066246746,0.02,1.55343381034,0.903066246746,0.4,0.621373524138,0.01,2906.67758334,0.5,1453.33879167
9.5,105.467420852,0.02,1.623856991,1.05467420852,0.4,0.649542796398,0.01,3247.43562509,0.5,1623.71781254
9.75,125.141582975,0.02,1.72513984403,1.25141582975,0.4,0.690055937611,0.01,3626.99822301,0.5,1813.49911151
10,151.069824098,0.02,1.86547981706,1.51069824098,0.4,0.746191926824,0.01,4049.08760514,0.5,2024.54380257
10.25,185.812582132,0.02,2.0566063956,1.85812582132,0.4,0.82264255824,0.01,4517.45609976,0.5,2258.72804988
10.5,233.200275681,0.02,2.31547721137,2.33200275681,0.4,0.926190884548,0.01,5035.6849667,0.5,2517.84248335
10.75,299.061310501,0.02,2.66693017944,2.99061310501,0.4,1.06677207177,0.01,5606.84551862,0.5,2803.42275931
11,392.411985166,0.02,3.14789043774,3.92411985166,0.4,1.2591561751,0.01,6232.93588082,0.5,3116.46794041
11.25,527.414259954,0.02,3.81413135688,5.27414259954,0.4,1.52565254275,0.01,6913.94986963,0.5,3456.97493482
11.5,726.594054136,0.02,4.75125387108,7.26594054136,0.4,1.90050154843,0.01,7646.34003835,0.5,3823.17001917
11.75,1026.0551136,0.02,6.09261361931,10.260551136,0.4,2.43704544772,0.01,8420.48402961,0.5,4210.2420148
12,1483.58311994,0.02,8.04849004138,14.8358311994,0.4,3.21939601655,0.01,9216.53075491,0.5,4608.26537745
12.25,2190.01623686,0.02,10.9525988371,21.9001623686,0.4,4.38103953484,0.01,9997.70131928,0.5,4998.85065964
12.5,3281.10160146,0.02,15.3323795455,32.8110160146,0.4,6.13295181822,0.01,10699.909925,0.5,5349.95496249
12.75,4935.95949908,0.02,22.0018955946,49.3595949908,0.4,8.80075823785,0.01,11217.1232652,0.5,5608.56163262
13,7318.8194156,0.02,32.1416047829,73.188194156,0.4,12.8566419131,0.01,11385.2737986,0.5,5692.63689931
13.25,10369.2973975,0.02,47.2244928436,103.692973975,0.4,18.8897971374,0.01,10978.7281696,0.5,5489.36408478
13.5,13354.8983409,0.02,68.4252870529,133.548983409,0.4,27.3701148212,0.01,9758.74484137,0.5,4879.37242069
13.75,14511.1571102,0.02,94.9700042,145.111571102,0.4,37.98800168,0.01,7639.86336131,0.5,3819.93168065
14,12094.8728694,0.02,121.750896556,120.948728694,0.4,48.7003586222,0.01,4967.05700392,0.5,2483.52850196
14.25,7170.22780719,0.02,139.812989073,71.7022780719,0.4,55.9251956294,0.01,2564.22091206,0.5,1282.11045603
14.5,3140.20935534,0.02,143.757259684,31.4020935534,0.4,57.5029038736,0.01,1092.19157427,0.5,546.095787134
14.75,1217.69622314,0.02,137.232057104,12.1769622314,0.4,54.8928228416,0.01,443.663182217,0.5,221.831591109
15,492.790208149,0.02,126.553091951,4.92790208149,0.4,50.6212367806,0.01,194.697024209,0.5,97.3485121047
15.25,220.672892298,0.02,115.129758277,2.20672892298,0.4,46.0519033107,0.01,95.8366001983,0.5,47.9183000992
15.5,109.685126877,0.02,104.16846468,1.09685126877,0.4,41.6673858719,0.01,52.6479521486,0.5,26.3239760743
15.75,59.8148416562,0.02,94.025831029,0.598148416562,0.4,37.6103324116,0.01,31.8076644479,0.5,15.903832224
16,35.3161931959,0.02,84.7727850302,0.353161931959,0.4,33.9091140121,0.01,20.8299120899,0.5,10.4149560449
16.25,22.3111003171,0.02,76.3837970102,0.223111003171,0.4,30.5535188041,0.01,14.6046028021,0.5,7.30230140107
16.5,14.9331660141,0.02,68.80119506,0.149331660141,0.4,27.520478024,0.01,10.8524030731,0.5,5.42620153657
16.75,10.5027705075,0.02,61.958408469,0.105027705075,0.4,24.7833633876,0.01,8.47566195376,0.5,4.23783097688
17,7.70937629199,0.02,55.7888245484,0.0770937629199,0.4,22.3155298194,0.01,6.9094270711,0.5,3.45471353555
17.25,5.87256016836,0.02,50.2292155343,0.0587256016836,0.4,20.0916862137,0.01,5.84576138199,0.5,2.922880691
17.5,4.62008371565,0.02,45.2209753813,0.0462008371565,0.4,18.0883901525,0.01,5.10834151265,0.5,2.55417075632
17.75,3.73873438789,0.02,40.7104280524,0.0373873438789,0.4,16.284171221,0.01,4.59186327282,0.5,2.29593163641
18,3.10133487952,0.02,36.6487320832,0.0310133487952,0.4,14.6594928333,0.01,4.23116258495,0.5,2.11558129247
18.25,2.62924950377,0.02,32.991612212,0.0262924950377,0.4,13.1966448848,0.01,3.98472418818,0.5,1.99236209409
18.5,2.27227372241,0.02,29.6990241146,0.0227227372241,0.4,11.8796096458,0.01,3.82550233577,0.5,1.91275116788
18.75,1.99742215734,0.02,26.7348023874,0.0199742215734,0.4,10.693920955,0.01,3.73562169713,0.5,1.86781084857
19,1.78245668891,0.02,24.0663157041,0.0178245668891,0.4,9.62652628164,0.01,3.70321886994,0.5,1.85160943497
19.25,1.61203173533,0.02,21.6641402754,0.0161203173533,0.4,8.66565611016,0.01,3.72050705646,0.5,1.86025352823
19.5,1.47533224517,0.02,19.5017563272,0.0147533224517,0.4,7.80070253088,0.01,3.78256250468,0.5,1.89128125234
19.75,1.36458853109,0.02,17.5552690251,0.0136458853109,0.4,7.02210761004,0.01,3.88654975647,0.5,1.94327487824
20,1.27412020117,0.02,15.8031535939,0.0127412020117,0.4,6.32126143757,0.01,4.03122134326,0.5,2.01561067163
20.25,1.1997072985,0.02,14.226023535,0.011997072985,0.4,5.69040941401,0.01,4.21659396087,0.5,2.10829698044
20.5,1.13816840999,0.02,12.8064204498,0.0113816840999,0.4,5.12256817991,0.01,4.44374138136,0.5,2.22187069068
20.75,1.08707243496,0.02,11.5286238258,0.0108707243496,0.4,4.61144953033,0.01,4.71466695153,0.5,2.35733347576
21,1.04453833916,0.02,10.3784791243,0.0104453833916,0.4,4.15139164973,0.01,5.03223221173,0.5,2.51611610586
21.25,1.00909386331,0.02,9.34324255774,0.0100909386331,0.4,3.7372970231,0.01,5.4001266534,0.5,2.7000633267
21.5,0.979574388388,0.02,8.41144103662,0.00979574388388,0.4,3.36457641465,0.01,5.82286901925,0.5,2.91143450963
21.75,0.95504957498,0.02,7.57274586893,0.0095504957498,0.4,3.02909834757,0.01,6.30583404956,0.5,3.15291702478
22,0.934769487522,0.02,6.81785890598,0.00934769487522,0.4,2.72714356239,0.01,6.85530091201,0.5,3.42765045601
22.25,0.918124571646,0.02,6.1384099391,0.00918124571646,0.4,2.45536397564,0.01,7.47852115413,0.5,3.73926057707
22.5,0.90461560394,0.02,5.52686425662,0.0090461560394,0.4,2.21074570265,0.01,8.18380515549,0.5,4.09190257774
22.75,0.893830905337,0.02,4.97643936996,0.00893830905337,0.4,1.99057574799,0.01,8.98062689894,0.5,4.49031344947
23,0.885428903955,0.02,4.48103001023,0.00885428903955,0.4,1.79241200409,0.01,9.87974753497,0.5,4.93987376749
23.25,0.879124679281,0.02,4.03514058147,0.00879124679281,0.4,1.61405623259,0.01,10.8933587509,0.5,5.44667937543
23.5,0.874679499411,0.02,3.63382433502,0.00874679499411,0.4,1.45352973401,0.01,12.0352474249,0.5,6.01762371245
23.75,0.871892630285,0.02,3.27262860027,0.00871892630285,0.4,1.30905144011,0.01,13.3209834782,0.5,6.66049173908
24,0.870594886079,0.02,2.94754547182,0.00870594886079,0.4,1.17901818873,0.01,14.7681332554,0.5,7.38406662768
24.25,0.870643526596,0.02,2.65496741185,0.00870643526596,0.4,1.06198696474,0.01,16.3965011907,0.5,8.19825059537
24.5,0.871918206873,0.02,2.39164727948,0.00871918206873,0.4,0.956658911792,0.01,18.2284029579,0.5,9.11420147897
24.75,0.874317757107,0.02,2.15466234705,0.00874317757107,0.4,0.86186493882,0.01,20.288973776,0.5,10.144486888
25,0.877757625014,0.02,1.94138190674,0.00877757625014,0.4,0.776552762695,0.01,22.6065160587,0.5,11.3032580293
25.25,0.882167853227,0.02,1.74943811013,0.00882167853227,0.4,0.69977524405,0.01,25.2128911598,0.5,12.6064455799
25.5,0.887491494979,0.02,1.57669971875,0.00887491494979,0.4,0.630679887499,0.01,28.1439605914,0.5,14.0719802957
25.75,0.893683394812,0.02,1.42124847561,0.00893683394812,0.4,0.568499390244,0.01,31.4400827916,0.5,15.7200413958
26,0.900709279387,0.02,1.28135783654,0.00900709279387,0.4,0.512543134614,0.01,35.1466722919,0.5,17.5733361459
26.25,0.908545117923,0.02,1.15547382608,0.00908545117923,0.4,0.462189530432,0.01,39.3148290085,0.5,19.6574145043
26.5,0.917176723651,0.02,1.04219780627,0.00917176723651,0.4,0.416879122507,0.01,44.0020463551,0.5,22.0010231775
26.75,0.926599577435,0.02,0.94027096745,0.00926599577435,0.4,0.37610838698,0.01,49.2730079686,0.5,24.6365039843
27,0.936818863349,0.02,0.848560369648,0.00936818863349,0.4,0.339424147859,0.01,55.2004840703,0.5,27.6002420351
27.25,0.947849713726,0.02,0.766046379842,0.00947849713726,0.4,0.306418551937,0.01,61.8663398632,0.5,30.9331699316
27.5,0.9597176687,0.02,0.691811366142,0.009597176687,0.4,0.276724546457,0.01,69.3626699177,0.5,34.6813349588
27.75,0.97245936279,0.02,0.625029523699,0.0097245936279,0.4,0.25001180948,0.01,77.7930742402,0.5,38.8965371201
28,0.986123459145,0.02,0.564957719737,0.00986123459145,0.4,0.225983087895,0.01,87.2740936796,0.5,43.6370468398
28.25,1.00077186112,0.02,0.510927256411,0.0100077186112,0.4,0.204370902564,0.01,97.9368245247,0.5,48.9684122624
28.5,1.01648124131,0.02,0.462336460422,0.0101648124131,0.4,0.184934584169,0.01,109.928734625,0.5,54.9643673125
28.75,1.0333449408,0.02,0.418644017483,0.010333449408,0.4,0.167457606993,0.01,123.415706143,0.5,61.7078530714
29,1.05147530699,0.02,0.379362978087,0.0105147530699,0.4,0.151745191235,0.01,138.584333175,0.5,69.2921665877
29.25,1.07100655745,0.02,0.344055368546,0.0107100655745,0.4,0.137622147418,0.01,155.644505996,0.5,77.8222529978
29.5,1.09209828235,0.02,0.312327348085,0.0109209828235,0.4,0.124930939234,0.01,174.832317606,0.5,87.4161588029
29.75,1.11493972932,0.02,0.283824858982,0.0111493972932,0.4,0.113529943593,0.01,196.413332736,0.5,98.2066663679
30,1.13975505588,0.02,0.258229722407,0.0113975505588,0.4,0.103291888963,0.01,220.686264396,0.5,110.343132198
30.25,1.16680978828,0.02,0.235256137806,0.0116680978828,0.4,0.0941024551225,0.01,247.987108681,0.5,123.993554341
30.5,1.19641879678,0.02,0.214647548496,0.0119641879678,0.4,0.0858590193986,0.01,278.693794819,0.5,139.34689741
30.75,1.22895619171,0.02,0.196173840639,0.0122895619171,0.4,0.0784695362555,0.01,313.231414472,0.5,156.615707236
31,1.26486767154,0.02,0.179628847054,0.0126486767154,0.4,0.0718515388217,0.01,352.078102233,0.5,176.039051117
31.25,1.30468602534,0.02,0.164828131528,0.0130468602534,0.4,0.065931252611,0.01,395.771648095,0.5,197.885824047
31.5,1.34905072556,0.02,0.151607033438,0.0134905072556,0.4,0.0606428133753,0.01,444.9169326,0.5,222.4584663
31.75,1.39873286778,0.02,0.139818956908,0.0139873286778,0.4,0.0559275827633,0.01,500.194286494,0.5,250.097143247
32,1.45466715891,0.02,0.129333893387,0.0145466715891,0.4,0.0517335573548,0.01,562.368889089,0.5,281.184444544
32.25,1.51799327766,0.02,0.120037171945,0.0151799327766,0.4,0.0480148687782,0.01,632.301333435,0.5,316.150666717
32.5,1.59010981056,0.02,0.111828437945,0.0159010981056,0.4,0.044731375178,0.01,710.959501795,0.5,355.479750897
32.75,1.67274522177,0.02,0.104620868677,0.0167274522177,0.4,0.0418483474708,0.01,799.431912067,0.5,399.715956033
33,1.76805212532,0.02,0.0983406448637,0.0176805212532,0.4,0.0393362579455,0.01,898.942714769,0.5,449.471357385
33.25,1.87873376927,0.02,0.0929267106906,0.0187873376927,0.4,0.0371706842762,0.01,1010.86854108,0.5,505.434270542
33.5,2.00821553903,0.02,0.0883308740447,0.0200821553903,0.4,0.0353323496179,0.01,1136.75742528,0.5,568.378712639
33.75,2.16088011151,0.02,0.0845183254878,0.0216088011151,0.4,0.0338073301951,0.01,1278.35004955,0.5,639.175024776
34,2.34239370988,0.02,0.0814686932178,0.0234239370988,0.4,0.0325874772871,0.01,1437.60358572,0.5,718.801792859
34.25,2.56016444305,0.02,0.0791778081707,0.0256016444305,0.4,0.0316711232683,0.01,1616.71843551,0.5,808.359217753
34.5,2.82399479036,0.02,0.0776604384613,0.0282399479036,0.4,0.0310641753845,0.01,1818.16819883,0.5,909.084099417
34.75,3.14702361696,0.02,0.076954381591,0.0314702361696,0.4,0.0307817526364,0.01,2044.73322499,0.5,1022.3666125
35,3.54710665345,0.02,0.0771265024743,0.0354710665345,0.4,0.0308506009897,0.01,2299.53812221,0.5,1149.7690611
35.25,4.0488718876,0.02,0.0782816188605,0.040488718876,0.4,0.0313126475442,0.01,2586.09361082,0.5,1293.04680541
35.5,4.68683193077,0.02,0.0805756366935,0.0468683193077,0.4,0.0322302546774,0.01,2908.3430942,0.5,1454.1715471
35.75,5.51018233436,0.02,0.084235152851,0.0551018233436,0.4,0.0336940611404,0.01,3270.714273,0.5,1635.3571365
36,6.59034195788,0.02,0.0895870934018,0.0659034195788,0.4,0.0358348373607,0.01,3678.17601154,0.5,1839.08800577
36.25,8.03304610212,0.02,0.0971042389564,0.0803304610212,0.4,0.0388416955825,0.01,4136.30042749,0.5,2068.15021374
36.5,9.99816628928,0.02,0.107476430316,0.0999816628928,0.4,0.0429905721264,0.01,4651.3297194,0.5,2325.6648597
36.75,12.7329514738,0.02,0.121724203008,0.127329514738,0.4,0.0486896812031,0.01,5230.24639275,0.5,2615.12319638
37,16.6291638141,0.02,0.141384161391,0.166291638141,0.4,0.0565536645566,0.01,5880.84395398,0.5,2940.42197699
37.25,22.3238771545,0.02,0.168818654788,0.223238771545,0.4,0.0675274619151,0.01,6611.79215727,0.5,3305.89607864
37.5,30.882284103,0.02,0.207746482195,0.30882284103,0.4,0.0830985928781,0.01,7432.68520764,0.5,3716.34260382
37.75,44.1390497874,0.02,0.264177544233,0.441390497874,0.4,0.105671017693,0.01,8354.05028757,0.5,4177.02514379
38,65.3555783457,0.02,0.348107414279,0.653555783457,0.4,0.139242965711,0.01,9387.27181107,0.5,4693.63590554
38.25,100.526722783,0.02,0.476685618715,1.00526722783,0.4,0.190674247486,0.01,10544.3418929,0.5,5272.17094644
38.5,161.065680709,0.02,0.680333863801,1.61065680709,0.4,0.27213354552,0.01,11837.2529488,0.5,5918.62647439
38.75,269.506477053,0.02,1.01496467919,2.69506477053,0.4,0.405985871677,0.01,13276.6431472,0.5,6638.3215736
39,472.006907599,0.02,1.58723440391,4.72006907599,0.4,0.634893761562,0.01,14868.8469213,0.5,7434.42346067
39.25,866.52444031,0.02,2.60852823251,8.6652444031,0.4,1.043411293,0.01,16609.4510596,0.5,8304.7255298
39.5,1667.37645733,0.02,4.51398651004,16.6737645733,0.4,1.80559460401,0.01,18469.001332,0.5,9234.50066599
39.75,3351.80380629,0.02,8.23102900235,33.5180380629,0.4,3.29241160094,0.01,20360.7823841,0.5,10180.3911921
40,6967.92023894,0.02,15.7874356178,69.6792023894,0.4,6.31497424714,0.01,22067.9292306,0.5,11033.9646153
40.25,14602.5210244,0.02,31.6284926534,146.025210244,0.4,12.6513970614,0.01,23084.4403247,0.5,11542.2201623
40.5,29002.6516698,0.02,64.971945949,290.026516698,0.4,25.9887783796,0.01,22319.3651092,0.5,11159.6825546
40.75,46782.9414532,0.02,130.981380528,467.829414532,0.4,52.3925522114,0.01,17858.6228304,0.5,8929.31141519
41,37778.4689439,0.02,234.840596109,394.307474083,0.4,93.9362384435,0.01,8395.21532087,0.5,4197.60766044
41.25,0,0.02,309.933405019,0,0.4,123.973362007,0.01,0,0.5,0
41.5,0,0.02,278.940064517,0,0.4,111.576025807,0.01,0,0.5,0
41.75,0,0.02,251.046058065,0,0.4,100.418423226,0.01,0,0.5,0
42,0,0.02,225.941452259,0,0.4,90.3765809034,0.01,0,0.5,0
42.25,0,0.02,203.347307033,0,0.4,81.3389228131,0.01,0,0.5,0
42.5,0,0.02,183.012576329,0,0.4,73.2050305318,0.01,0,0.5,0
42.75,0,0.02,164.711318696,0,0.4,65.8845274786,0.01,0,0.5,0
43,0,0.02,148.240186827,0,0.4,59.2960747307,0.01,0,0.5,0
43.25,0,0.02,133.416168144,0,0.4,53.3664672577,0.01,0,0.5,0
43.5,0,0.02,120.07455133,0,0.4,48.0298205319,0.01,0,0.5,0
43.75,0,0.02,108.067096197,0,0.4,43.2268384787,0.01,0,0.5,0
44,0,0.02,97.2603865771,0,0.4,38.9041546308,0.01,0,0.5,0
44.25,0,0.02,87.5343479194,0,0.4,35.0137391678,0.01,0,0.5,0
44.5,0,0.02,78.7809131274,0,0.4,31.512365251,0.01,0,0.5,0
44.75,0,0.02,70.9028218147,0,0.4,28.3611287259,0.01,0,0.5,0
45,0,0.02,63.8125396332,0,0.4,25.5250158533,0.01,0,0.5,0
45.25,0,0.02,57.4312856699,0,0.4,22.972514268,0.01,0,0.5,0
45.5,0,0.02,51.6881571029,0,0.4,20.6752628412,0.01,0,0.5,0
45.75,0,0.02,46.5193413926,0,0.4,18.607736557,0.01,0,0.5,0
46,0,0.02,41.8674072534,0,0.4,16.7469629013,0.01,0,0.5,0
46.25,0,0.02,37.680666528,0,0.4,15.0722666112,0.01,0,0.5,0
46.5,0,0.02,33.9125998752,0,0.4,13.5650399501,0.01,0,0.5,0
46.75,0,0.02,30.5213398877,0,0.4,12.2085359551,0.01,0,0.5,0
47,0,0.02,27.4692058989,0,0.4,10.9876823596,0.01,0,0.5,0
47.25,0,0.02,24.722285309,0,0.4,9.88891412362,0.01,0,0.5,0
47.5,0,0.02,22.2500567781,0,0.4,8.90002271125,0.01,0,0.5,0
47.75,0,0.02,20.0250511003,0,0.4,8.01002044013,0.01,0,0.5,0
48,0,0.02,18.0225459903,0,0.4,7.20901839612,0.01,0,0.5,0
48.25,0,0.02,16.2202913913,0,0.4,6.4881165565,0.01,0,0.5,0
48.5,0,0.02,14.5982622521,0,0.4,5.83930490085,0.01,0,0.5,0
48.75,0,0.02,13.1384360269,0,0.4,5.25537441077,0.01,0,0.5,0
49,0,0.02,11.8245924242,0,0.4,4.72983696969,0.01,0,0.5,0
49.25,0,0.02,10.6421331818,0,0.4,4.25685327272,0.01,0,0.5,0
49.5,0,0.02,9.57791986362,0,0.4,3.83116794545,0.01,0,0.5,0
49.75,0,0.02,8.62012787726,0,0.4,3.4480511509,0.01,0,0.5,0
50,0,0.02,7.75811508954,0,0.4,3.10324603581,0.01,0,0.5,0
50.25,0,0.02,6.98230358058,0,0.4,2.79292143223,0.01,0,0.5,0
50.5,0,0.02,6.28407322252,0,0.4,2.51362928901,0.01,0,0.5,0
50.75,0,0.02,5.65566590027,0,0.4,2.26226636011,0.01,0,0.5,0
51,0,0.02,5.09009931024,0,0.4,2.0360397241,0.01,0,0.5,0
51.25,0,0.02,4.58108937922,0,0.4,1.83243575169,0.01,0,0.5,0
51.5,0,0.02,4.1229804413,0,0.4,1.64919217652,0.01,0,0.5,0
51.75,0,0.02,3.71068239717,0,0.4,1.48427295887,0.01,0,0.5,0
52,0,0.02,3.33961415745,0,0.4,1.33584566298,0.01,0,0.5,0
52.25,0,0.02,3.00565274171,0,0.4,1.20226109668,0.01,0,0.5,0
52.5,0,0.02,2.70508746754,0,0.4,1.08203498701,0.01,0,0.5,0
52.75,0,0.02,2.43457872078,0,0.4,0.973831488313,0.01,0,0.5,0
53,0,0.02,2.1911208487,0,0.4,0.876448339482,0.01,0,0.5,0
53.25,0,0.02,1.97200876383,0,0.4,0.788803505533,0.01,0,0.5,0
53.5,0,0.02,1.77480788745,0,0.4,0.70992315498,0.01,0,0.5,0
53.75,0,0.02,1.59732709871,0,0.4,0.638930839482,0.01,0,0.5,0
54,0,0.02,1.43759438883,0,0.4,0.575037755534,0.01,0,0.5,0
54.25,0,0.02,1.29383494995,0,0.4,0.51753397998,0.01,0,0.5,0
54.5,0,0.02,1.16445145496,0,0.4,0.465780581982,0.01,0,0.5,0
54.75,0,0.02,1.04800630946,0,0.4,0.419202523784,0.01,0,0.5,0
55,0,0.02,0.943205678514,0,0.4,0.377282271406,0.01,0,0.5,0
55.25,0,0.02,0.848885110663,0,0.4,0.339554044265,0.01,0,0.5,0
55.5,0,0.02,0.763996599597,0,0.4,0.305598639839,0.01,0,0.5,0
55.75,0,0.02,0.687596939637,0,0.4,0.275038775855,0.01,0,0.5,0
56,0,0.02,0.618837245673,0,0.4,0.247534898269,0.01,0,0.5,0
56.25,0,0.02,0.556953521106,0,0.4,0.222781408442,0.01,0,0.5,0
56.5,0,0.02,0.501258168995,0,0.4,0.200503267598,0.01,0,0.5,0
56.75,0,0.02,0.451132352096,0,0.4,0.180452940838,0.01,0,0.5,0
57,0,0.02,0.406019116886,0,0.4,0.162407646755,0.01,0,0.5,0
57.25,0,0.02,0.365417205198,0,0.4,0.146166882079,0.01,0,0.5,0
57.5,0,0.02,0.328875484678,0,0.4,0.131550193871,0.01,0,0.5,0
57.75,0,0.02,0.29598793621,0,0.4,0.118395174484,0.01,0,0.5,0
58,0,0.02,0.266389142589,0,0.4,0.106555657036,0.01,0,0.5,0
58.25,0,0.02,0.23975022833,0,0.4,0.0959000913321,0.01,0,0.5,0
58.5,0,0.02,0.215775205497,0,0.4,0.0863100821989,0.01,0,0.5,0
58.75,0,0.02,0.194197684947,0,0.4,0.077679073979,0.01,0,0.5,0
59,0,0.02,0.174777916453,0,0.4,0.0699111665811,0.01,0,0.5,0
59.25,0,0.02,0.157300124807,0,0.4,0.062920049923,0.01,0,0.5,0
59.5,0,0.02,0.141570112327,0,0.4,0.0566280449307,0.01,0,0.5,0
59.75,0,0.02,0.127413101094,0,0.4,0.0509652404376,0.01,0,0.5,0
60,0,0.02,0.114671790985,0,0.4,0.0458687163938,0.01,0,0.5,0
60.25,0,0.02,0.103204611886,0,0.4,0.0412818447545,0.01,0,0.5,0
60.5,0,0.02,0.0928841506975,0,0.4,0.037153660279,0.01,0,0.5,0
60.75,0,0.02,0.0835957356278,0,0.4,0.0334382942511,0.01,0,0.5,0
61,0,0.02,0.075236162065,0,0.4,0.030094464826,0.01,0,0.5,0
61.25,0,0.02,0.0677125458585,0,0.4,0.0270850183434,0.01,0,0.5,0
61.5,0,0.02,0.0609412912727,0,0.4,0.0243765165091,0.01,0,0.5,0
61.75,0,0.02,0.0548471621454,0,0.4,0.0219388648582,0.01,0,0.5,0
62,0,0.02,0.0493624459308,0,0.4,0.0197449783723,0.01,0,0.5,0
62.25,0,0.02,0.0444262013378,0,0.4,0.0177704805351,0.01,0,0.5,0
62.5,0,0.02,0.039983581204,0,0.4,0.0159934324816,0.01,0,0.5,0
62.75,0,0.02,0.0359852230836,0,0.4,0.0143940892334,0.01,0,0.5,0
63,0,0.02,0.0323867007752,0,0.4,0.0129546803101,0.01,0,0.5,0
63.25,0,0.02,0.0291480306977,0,0.4,0.0116592122791,0.01,0,0.5,0
63.5,0,0.02,0.0262332276279,0,0.4,0.0104932910512,0.01,0,0.5,0
63.75,0,0.02,0.0236099048651,0,0.4,0.00944396194606,0.01,0,0.5,0
64,0,0.02,0.0212489143786,0,0.4,0.00849956575145,0.01,0,0.5,0
