Years,Atmosphere C,Land C,photosynthesis,photosynthesis rate,respiration,respiration rate
37.25,800,2000,40,0.05,40,0.02
37.5,800,2000,40,0.05,40,0.02
37.75,800,2000,40,0.05,40,0.02
38,800,2000,40,0.05,40,0.02
38.25,800,2000,40,0.05,40,0.02
38.5,800,2000,40,0.05,40,0.02
38.75,800,2000,40,0.05,40,0.02
39,800,2000,40,0.05,40,0.02
39.25,800,2000,40,0.05,40,0.02
39.5,800,2000,40,0.05,40,0.02
39.75,800,2000,40,0.05,40,0.02
40,800,2000,40,0.05,40,0.02
40.25,800,2000,40,0.05,40,0.02
40.5,800,2000,40,0.05,40,0.02
40.75,800,2000,40,0.05,40,0.02
41,800,2000,40,0.05,40,0.02
41.25,800,2000,40,0.05,40,0.02
41.5,800,2000,40,0.05,40,0.02
41.75,800,2000,40,0.05,40,0.02
42,800,2000,40,0.05,40,0.02
42.25,800,2000,40,0.05,40,0.02
42.5,800,2000,40,0.05,40,0.02
42.75,800,2000,40,0.05,40,0.02
43,800,2000,40,0.05,40,0.02
43.25,800,2000,40,0.05,40,0.02
43.5,800,2000,40,0.05,40,0.02
43.75,800,2000,40,0.05,40,0.02
44,800,2000,40,0.05,40,0.02
44.25,800,2000,40,0.05,40,0.02
44.5,800,2000,40,0.05,40,0.02
44.75,800,2000,40,0.05,40,0.02
45,800,2000,40,0.05,40,0.02
45.25,800,2000,40,0.05,40,0.02
45.5,800,2000,40,0.05,40,0.02
45.75,800,2000,40,0.05,40,0.02
46,800,2000,40,0.05,40,0.02
46.25,800,2000,40,0.05,40,0.02
46.5,800,2000,40,0.05,40,0.02
46.75,800,2000,40,0.05,40,0.02
47,800,2000,40,0.05,40,0.02
47.25,800,2000,40,0.05,40,0.02
47.5,800,2000,40,0.05,40,0.02
47.75,800,2000,40,0.05,40,0.02
48,800,2000,40,0.05,40,0.02
48.25,800,2000,40,0.05,40,0.02
48.5,800,2000,40,0.05,40,0.02
48.75,800,2000,40,0.05,40,0.02
49,800,2000,40,0.05,40,0.02
49.25,800,2000,40,0.05,40,0.02
49.5,800,2000,40,0.05,40,0.02
49.75,800,2000,40,0.05,40,0.02
50,800,2000,40,0.05,40,0.02
50.25,800,2000,40,0.05,40,0.02
50.5,800,2000,40,0.05,40,0.02
50.75,800,2000,40,0.05,40,0.02
51,800,2000,40,0.05,40,0.02
51.25,800,2000,40,0.05,40,0.02
51.5,800,2000,40,0.05,40,0.02
51.75,800,2000,40,0.05,40,0.02
52,800,2000,40,0.05,40,0.02
52.25,800,2000,40,0.05,40,0.02
52.5,800,2000,40,0.05,40,0.02
52.75,800,2000,40,0.05,40,0.02
53,800,2000,40,0.05,40,0.02
53.25,800,2000,40,0.05,40,0.02
53.5,800,2000,40,0.05,40,0.02
53.75,800,2000,40,0.05,40,0.02
54,800,2000,40,0.05,40,0.02
54.25,800,2000,40,0.05,40,0.02
54.5,800,2000,40,0.05,40,0.02
54.75,800,2000,40,0.05,40,0.02
55,800,2000,40,0.05,40,0.02
55.25,800,2000,40,0.05,40,0.02
55.5,800,2000,40,0.05,40,0.02
55.75,800,2000,40,0.05,40,0.02
56,800,2000,40,0.05,40,0.02
56.25,800,2000,40,0.05,40,0.02
56.5,800,2000,40,0.05,40,0.02
56.75,800,2000,40,0.05,40,0.02
57,800,2000,40,0.05,40,0.02
57.25,800,2000,40,0.05,40,0.02
57.5,800,2000,40,0.05,40,0.02
57.75,800,2000,40,0.05,40,0.02
58,800,2000,40,0.05,40,0.02
58.25,800,2000,40,0.05,40,0.02
58.5,800,2000,40,0.05,40,0.02
58.75,800,2000,40,0.05,40,0.02
59,800,2000,40,0.05,40,0.02
59.25,800,2000,40,0.05,40,0.02
59.5,800,2000,40,0.05,40,0.02
59.75,800,2000,40,0.05,40,0.02
60,800,2000,40,0.05,40,0.02
60.25,800,2000,40,0.05,40,0.02
60.5,800,2000,40,0.05,40,0.02
60.75,800,2000,40,0.05,40,0.02
61,800,2000,40,0.05,40,0.02
61.25,800,2000,40,0.05,40,0.02
61.5,800,2000,40,0.05,40,0.02
61.75,800,2000,40,0.05,40,0.02
62,800,2000,40,0.05,40,0.02
62.25,800,2000,40,0.05,40,0.02
62.5,800,2000,40,0.05,40,0.02
62.75,800,2000,40,0.05,40,0.02
63,800,2000,40,0.05,40,0.02
63.25,800,2000,40,0.05,40,0.02
63.5,800,2000,40,0.05,40,0.02
63.75,800,2000,40,0.05,40,0.02
64,800,2000,40,0.05,40,0.02
64.25,800,2000,40,0.05,40,0.02
64.5,800,2000,40,0.05,40,0.02
64.75,800,2000,40,0.05,40,0.02
65,800,2000,40,0.05,40,0.02
65.25,800,2000,40,0.05,40,0.02
65.5,800,2000,40,0.05,40,0.02
65.75,800,2000,40,0.05,40,0.02
66,800,2000,40,0.05,40,0.02
66.25,800,2000,40,0.05,40,0.02
66.5,800,2000,40,0.05,40,0.02
66.75,800,2000,40,0.05,40,0.02
67,800,2000,40,0.05,40,0.02
67.25,800,2000,40,0.05,40,0.02
67.5,800,2000,40,0.05,40,0.02
67.75,800,2000,40,0.05,40,0.02
68,800,2000,40,0.05,40,0.02
68.25,800,2000,40,0.05,40,0.02
68.5,800,2000,40,0.05,40,0.02
68.75,800,2000,40,0.05,40,0.02
69,800,2000,40,0.05,40,0.02
69.25,800,2000,40,0.05,40,0.02
69.5,800,2000,40,0.05,40,0.02
69.75,800,2000,40,0.05,40,0.02
70,800,2000,40,0.05,40,0.02
70.25,800,2000,40,0.05,40,0.02
70.5,800,2000,40,0.05,40,0.02
70.75,800,2000,40,0.05,40,0.02
71,800,2000,40,0.05,40,0.02
71.25,800,2000,40,0.05,40,0.02
71.5,800,2000,40,0.05,40,0.02
71.75,800,2000,40,0.05,40,0.02
72,800,2000,40,0.05,40,0.02
72.25,800,2000,40,0.05,40,0.02
72.5,800,2000,40,0.05,40,0.02
72.75,800,2000,40,0.05,40,0.02
73,800,2000,40,0.05,40,0.02
73.25,800,2000,40,0.05,40,0.02
73.5,800,2000,40,0.05,40,0.02
73.75,800,2000,40,0.05,40,0.02
74,800,2000,40,0.05,40,0.02
74.25,800,2000,40,0.05,40,0.02
74.5,800,2000,40,0.05,40,0.02
74.75,800,2000,40,0.05,40,0.02
75,800,2000,40,0.05,40,0.02
75.25,800,2000,40,0.05,40,0.02
75.5,800,2000,40,0.05,40,0.02
75.75,800,2000,40,0.05,40,0.02
76,800,2000,40,0.05,40,0.02
76.25,800,2000,40,0.05,40,0.02
76.5,800,2000,40,0.05,40,0.02
76.75,800,2000,40,0.05,40,0.02
77,800,2000,40,0.05,40,0.02
77.25,800,2000,40,0.05,40,0.02
77.5,800,2000,40,0.05,40,0.02
77.75,800,2000,40,0.05,40,0.02
78,800,2000,40,0.05,40,0.02
78.25,800,2000,40,0.05,40,0.02
78.5,800,2000,40,0.05,40,0.02
78.75,800,2000,40,0.05,40,0.02
79,800,2000,40,0.05,40,0.02
79.25,800,2000,40,0.05,40,0.02
79.5,800,2000,40,0.05,40,0.02
79.75,800,2000,40,0.05,40,0.02
80,800,2000,40,0.05,40,0.02
80.25,800,2000,40,0.05,40,0.02
80.5,800,2000,40,0.05,40,0.02
80.75,800,2000,40,0.05,40,0.02
81,800,2000,40,0.05,40,0.02
81.25,800,2000,40,0.05,40,0.02
81.5,800,2000,40,0.05,40,0.02
81.75,800,2000,40,0.05,40,0.02
82,800,2000,40,0.05,40,0.02
82.25,800,2000,40,0.05,40,0.02
82.5,800,2000,40,0.05,40,0.02
82.75,800,2000,40,0.05,40,0.02
83,800,2000,40,0.05,40,0.02
83.25,800,2000,40,0.05,40,0.02
83.5,800,2000,40,0.05,40,0.02
83.75,800,2000,40,0.05,40,0.02
84,800,2000,40,0.05,40,0.02
84.25,800,2000,40,0.05,40,0.02
84.5,800,2000,40,0.05,40,0.02
84.75,800,2000,40,0.05,40,0.02
85,800,2000,40,0.05,40,0.02
85.25,800,2000,40,0.05,40,0.02
85.5,800,2000,40,0.05,40,0.02
85.75,800,2000,40,0.05,40,0.02
86,800,2000,40,0.05,40,0.02
86.25,800,2000,40,0.05,40,0.02
86.5,800,2000,40,0.05,40,0.02
86.75,800,2000,40,0.05,40,0.02
87,800,2000,40,0.05,40,0.02
87.25,800,2000,40,0.05,40,0.02
87.5,800,2000,40,0.05,40,0.02
87.75,800,2000,40,0.05,40,0.02
88,800,2000,40,0.05,40,0.02
88.25,800,2000,40,0.05,40,0.02
88.5,800,2000,40,0.05,40,0.02
88.75,800,2000,40,0.05,40,0.02
89,800,2000,40,0.05,40,0.02
89.25,800,2000,40,0.05,40,0.02
89.5,800,2000,40,0.05,40,0.02
89.75,800,2000,40,0.05,40,0.02
90,800,2000,40,0.05,40,0.02
90.25,800,2000,40,0.05,40,0.02
90.5,800,2000,40,0.05,40,0.02
90.75,800,2000,40,0.05,40,0.02
91,800,2000,40,0.05,40,0.02
91.25,800,2000,40,0.05,40,0.02
91.5,800,2000,40,0.05,40,0.02
91.75,800,2000,40,0.05,40,0.02
92,800,2000,40,0.05,40,0.02
92.25,800,2000,40,0.05,40,0.02
92.5,800,2000,40,0.05,40,0.02
92.75,800,2000,40,0.05,40,0.02
93,800,2000,40,0.05,40,0.02
93.25,800,2000,40,0.05,40,0.02
93.5,800,2000,40,0.05,40,0.02
93.75,800,2000,40,0.05,40,0.02
94,800,2000,40,0.05,40,0.02
94.25,800,2000,40,0.05,40,0.02
94.5,800,2000,40,0.05,40,0.02
94.75,800,2000,40,0.05,40,0.02
95,800,2000,40,0.05,40,0.02
95.25,800,2000,40,0.05,40,0.02
95.5,800,2000,40,0.05,40,0.02
95.75,800,2000,40,0.05,40,0.02
96,800,2000,40,0.05,40,0.02
96.25,800,2000,40,0.05,40,0.02
96.5,800,2000,40,0.05,40,0.02
96.75,800,2000,40,0.05,40,0.02
97,800,2000,40,0.05,40,0.02
97.25,800,2000,40,0.05,40,0.02
97.5,800,2000,40,0.05,40,0.02
97.75,800,2000,40,0.05,40,0.02
98,800,2000,40,0.05,40,0.02
98.25,800,2000,40,0.05,40,0.02
98.5,800,2000,40,0.05,40,0.02
98.75,800,2000,40,0.05,40,0.02
99,800,2000,40,0.05,40,0.02
99.25,800,2000,40,0.05,40,0.02
99.5,800,2000,40,0.05,40,0.02
99.75,800,2000,40,0.05,40,0.02
100,800,2000,40,0.05,40,0.02
